TimeTracked,SpeedLimit,MPH,Slow,Color,Student,Location,
"Monday, April 7, 2025",30,31,N,Maroon ,Grant ,30th,
"Monday, April 7, 2025",30,26,N,Silver,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,38,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,36,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,28,N,White,Grant ,30th,
"Monday, April 7, 2025",30,15,Y,PublicSafety,Grant ,30th,
"Monday, April 7, 2025",30,33,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Tan,Grant ,30th,
"Monday, April 7, 2025",30,35,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,38,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,39,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,28,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,32,N,White,Grant ,30th,
"Monday, April 7, 2025",30,28,Y,Brown,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,35,Y,Red ,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Silver,Grant ,30th,
"Monday, April 7, 2025",30,35,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,29,N,Green,Grant ,30th,
"Monday, April 7, 2025",30,26,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,28,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,26,Y,Red ,Grant ,30th,
"Monday, April 7, 2025",30,31,N,White,Grant ,30th,
"Monday, April 7, 2025",30,35,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,28,Y,Silver,Grant ,30th,
"Monday, April 7, 2025",30,36,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,29,Y,Silver,Grant ,30th,
"Monday, April 7, 2025",30,24,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,24,N,Green,Grant ,30th,
"Monday, April 7, 2025",30,35,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,35,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,White,Grant ,30th,
"Monday, April 7, 2025",30,36,N,White,Grant ,30th,
"Monday, April 7, 2025",30,28,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,14,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,36,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Silver,Grant ,30th,
"Monday, April 7, 2025",30,32,N,White,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,36,N,White,Grant ,30th,
"Monday, April 7, 2025",30,26,N,Green,Grant ,30th,
"Monday, April 7, 2025",30,33,N ,Silver,Grant ,30th,
"Monday, April 7, 2025",30,28,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,30,Y,White,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Silver,Grant ,30th,
"Monday, April 7, 2025",30,33,N,Silver,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Grey,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,32,N,Tan,Grant ,30th,
"Monday, April 7, 2025",30,27,N,Black,Grant ,30th,
"Monday, April 7, 2025",20,22,Y,Grey,Xander,7th,
"Monday, April 7, 2025",20,25,Y,White,Xander,7th,
"Monday, April 7, 2025",20,25,N,White,Xander,7th,
"Monday, April 7, 2025",20,25,N,PublicSafety,Xander,7th,
"Monday, April 7, 2025",20,26,N,Red ,Xander,7th,
"Monday, April 7, 2025",20,27,N,White,Xander,7th,
"Monday, April 7, 2025",20,24,N,White,Xander,7th,
"Monday, April 7, 2025",20,27,Y,White,Xander,7th,
"Monday, April 7, 2025",20,30,Y,Grey,Xander,7th,
"Monday, April 7, 2025",20,30,N,Grey,Xander,7th,
"Monday, April 7, 2025",20,31,N,White,Xander,7th,
"Monday, April 7, 2025",20,34,N,Red ,Xander,7th,
"Monday, April 7, 2025",20,34,N,White,Xander,7th,
"Monday, April 7, 2025",20,36,N,White,Xander,7th,
"Monday, April 7, 2025",20,34,N,Maroon,Xander,7th,
"Monday, April 7, 2025",20,32,N,White,Xander,7th,
"Monday, April 7, 2025",20,32,N,White,Xander,7th,
"Monday, April 7, 2025",20,30,N,Grey,Xander,7th,
"Monday, April 7, 2025",20,36,N,Grey,Xander,7th,
"Monday, April 7, 2025",20,29,Y,Bus,Xander,7th,
"Monday, April 7, 2025",20,21,Y,White,Xander,7th,
"Monday, April 7, 2025",20,28,Y,White,Xander,7th,
"Monday, April 7, 2025",20,29,Y,Silver,Xander,7th,
"Monday, April 7, 2025",20,29,N,Grey,Xander,7th,
"Monday, April 7, 2025",20,33,N,Grey,Xander,7th,
"Monday, April 7, 2025",20,27,Y,White,Xander,7th,
"Monday, April 7, 2025",20,30,Y,White,Xander,7th,
"Monday, April 7, 2025",20,37,N,Grey,Xander,7th,
"Monday, April 7, 2025",20,44,N,Silver,Xander,7th,
"Monday, April 7, 2025",20,38,Y,White,Xander,7th,
"Monday, April 7, 2025",20,38,N,White,Xander,7th,
"Monday, April 7, 2025",20,34,Y,White,Xander,7th,
"Monday, April 7, 2025",20,29,N,Grey,Xander,7th,
"Monday, April 7, 2025",20,28,N,Black,Xander,7th,
"Monday, April 7, 2025",20,28,N,White,Xander,7th,
"Monday, April 7, 2025",20,28,N,Blue,Xander,7th,
"Monday, April 7, 2025",20,27,N,Silver,Xander,7th,
"Monday, April 7, 2025",20,26,Y,White,Xander,7th,
"Monday, April 7, 2025",20,26,Y,White,Xander,7th,
"Monday, April 7, 2025",20,32,Y,Black,Xander,7th,
"Monday, April 7, 2025",20,37,N,Black,Xander,7th,
"Monday, April 7, 2025",20,32,Y,Blue,Xander,7th,
"Monday, April 7, 2025",20,28,Y,White,Xander,7th,
"Monday, April 7, 2025",20,27,Y,White,Xander,7th,
"Monday, April 7, 2025",20,36,N,Tan,Xander,7th,
"Monday, April 7, 2025",20,33,N,Black,Xander,7th,
"Monday, April 7, 2025",20,32,N,Blue,Xander,7th,
"Monday, April 7, 2025",20,30,Y,White,Xander,7th,
"Monday, April 7, 2025",20,33,Y,Brown,Xander,7th,
"Monday, April 7, 2025",20,26,Y,Blue,Xander,7th,
"Tuesday, April 8, 2025",20,21,Y,Black,Xander,7th,
"Tuesday, April 8, 2025",20,26,Y,White,Xander,7th,
"Tuesday, April 8, 2025",20,25,Y,White,Xander,7th,
"Tuesday, April 8, 2025",20,32,N,Silver,Xander,7th,
"Tuesday, April 8, 2025",20,33,Y,White,Xander,7th,
"Tuesday, April 8, 2025",20,33,N,Blue,Xander,7th,
"Tuesday, April 8, 2025",20,34,N,Red ,Xander,7th,
"Tuesday, April 8, 2025",20,34,N,White,Xander,7th,
"Tuesday, April 8, 2025",20,30,Y,Black,Xander,7th,
"Tuesday, April 8, 2025",20,30,Y,White,Xander,7th,
"Tuesday, April 8, 2025",20,26,Y,Silver,Xander,7th,
"Tuesday, April 8, 2025",20,26,Y,Blue,Xander,7th,
"Tuesday, April 8, 2025",20,26,N,Black,Xander,7th,
"Tuesday, April 8, 2025",20,30,N,Red ,Xander,7th,
"Tuesday, April 8, 2025",20,29,Y,Black,Xander,7th,
"Tuesday, April 8, 2025",20,29,N,Black,Xander,7th,
"Tuesday, April 8, 2025",20,26,Y,Black,Xander,7th,
"Tuesday, April 8, 2025",20,26,Y,Black,Xander,7th,
"Tuesday, April 8, 2025",20,25,Y,Black,Xander,7th,
"Tuesday, April 8, 2025",20,22,Y,Red ,Xander,7th,
"Tuesday, April 8, 2025",20,21,N,White,Xander,7th,
"Tuesday, April 8, 2025",20,30,N,Green,Xander,7th,
"Tuesday, April 8, 2025",20,26,Y,Bus,Xander,7th,
"Tuesday, April 8, 2025",20,28,Y,White,Xander,7th,
"Tuesday, April 8, 2025",20,22,Y,Black,Xander,7th,
"Tuesday, April 8, 2025",20,31,Y,White,Xander,7th,
"Monday, April 14, 2025",30,33,Y,Red,Grant,13th,
"Monday, April 14, 2025",30,34,N,White,Grant,30th,
"Monday, April 14, 2025",30,28,N,Black,Grant,30th,
"Monday, April 14, 2025",30,36,N,White,Grant,30th,
"Monday, April 14, 2025",30,29,N,Blue,Grant,30th,
"Monday, April 14, 2025",30,34,Y,Black,Grant,30th,
"Monday, April 14, 2025",30,26,N,Grey,Grant,30th,
"Monday, April 14, 2025",30,30,N,Green,Grant,30th,
"Monday, April 14, 2025",30,27,N,White,Grant,30th,
"Monday, April 14, 2025",30,34,Y,Black,Grant,30th,
"Monday, April 14, 2025",30,28,N,Blue,Grant,30th,
"Monday, April 14, 2025",30,31,N,Red,Grant,30th,
"Monday, April 14, 2025",30,26,N,Tan,Grant,30th,
"Monday, April 14, 2025",30,33,Y,Grey,Grant,30th,
"Monday, April 14, 2025",30,29,N,Red,Grant,30th,
"Monday, April 14, 2025",30,35,Y,White,Grant,30th,
